CBO,DIT,LCOM,NOC,RFC,WMC
1.1827301,0.08202946,0.18372308,0.005016164,4.0025144,3.609621
1.1256255,0.070506245,0.18250157,0.006424683,3.680328,3.4459233
1.0165175,0.050921932,0.16004865,0.003127562,3.5494616,3.4424858
1.0165411,0.050921932,0.16010407,0.003127562,3.550683,3.4432116
1.0333499,0.058376607,0.15900356,0.004291952,3.5167515,3.3031192
1.0354648,0.05966761,0.16038783,0.004291952,3.525913,3.303242
1.0637811,0.061991777,0.16448456,0.004263263,3.619931,3.3875496
0.87754,0.05435377,0.14180121,0.004396793,2.910568,2.6884458
1.1966703,0.07008488,0.18511476,0.005577604,3.9784622,3.6928482
1.2728592,0.07404625,0.19443384,0.006121511,4.114102,3.7913678
1.0668526,0.05855253,0.1626043,0.00563007,3.5283837,3.3077855
1.1452799,0.06602761,0.18482399,0.008192115,3.6835084,3.4077065
1.0185217,0.055542275,0.15153186,0.004552698,3.3284707,3.1019142
1.0843791,0.059276152,0.16900228,0.005215261,3.5248718,3.284263
0.69300383,0.037085332,0.108389534,0.004505019,2.2571392,2.1192908
1.0922229,0.056853224,0.16296937,0.005106695,3.4587555,3.2417188
0.8911733,0.044561278,0.13095093,0.004494234,2.9701543,2.8470876
0.94061977,0.04721536,0.13781992,0.004644656,3.083326,2.9282722
1.0158666,0.050521396,0.14618652,0.004359122,3.1837962,2.992957
0.9117569,0.038117252,0.12774687,0.001941964,2.900171,2.8137467
0.88640106,0.03953103,0.12537794,0.003348086,2.8594432,2.7671099
0.9809476,0.04618626,0.14334962,0.004577021,3.1054077,2.954511
