A,Ca,Ce,D,I
0.009593124,4.709236,4.0854735,0.043393314,0.04642003
0.011095902,4.4624505,3.908726,0.040634416,0.044138525
0.006496945,3.6443381,2.9028635,0.033804305,0.032333013
0.006470192,3.652148,2.9024978,0.0338636,0.032288983
0.007938629,3.9966142,3.3645945,0.035146117,0.036373522
0.007938629,4.0000777,3.3784835,0.035024546,0.036390837
0.007809082,4.0184464,3.364239,0.035469852,0.036452252
0.00791469,3.724398,3.1905043,0.033393558,0.035172805
0.008605301,4.3449025,3.6287947,0.039888974,0.039259043
0.009393354,4.761674,3.9390917,0.042939574,0.04151287
0.008584647,4.1354866,3.2770777,0.037263602,0.034910463
2.39E-03,"	5.13E+00","	1.22E+01","	1.20E-02","	8.28E-02"
0.008295561,4.1955433,3.3920162,0.03790157,0.035784647
0.008455768,4.2180595,3.4014163,0.039179638,0.036288735
0.008067681,3.7396734,2.9726741,0.033952676,0.03133375
0.009021576,4.6819606,3.7760496,0.043020908,0.03930664
0.008339175,4.2176714,3.3517027,0.037747476,0.0345444
0.008589348,4.271831,3.42703,0.038060203,0.03538294
0.008162214,4.3561816,3.470827,0.039072506,0.0348033
0.005522369,3.941998,3.0240722,0.03608251,0.028923485
0.006606617,3.972941,2.982901,0.035591416,0.029072773
0.007837709,4.19474,3.1728187,0.038050402,0.03172681
