2.1.0,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.4.0,2.4.1,2.5.0,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.6.0,2.6.1,2.6.2,2.6.3,2.7.0,2.7.1,2.7.2,2.7.3
701,272,291,516,133,317,94,566,535,495,752,385,378,483,678,292,789,1279,526,438,625,313,625,281
471,458,360,405,282,245,336,161,583,416,366,442,480,480,273,462,264,1939,285,388,459,296,459,793
515,391,340,309,602,518,256,380,346,338,437,460,486,274,111,358,403,1054,275,277,398,362,398,746
228,433,395,440,376,387,288,285,293,325,469,205,384,363,380,333,447,1524,471,361,728,270,728,807
451,380,350,403,321,412,415,238,141,159,461,440,377,212,420,406,319,1491,351,445,238,304,238,723
451,381,261,444,442,360,366,341,241,227,509,327,402,265,357,688,470,1844,322,321,599,263,599,902
338,327,656,396,345,337,1240,373,310,297,172,645,656,587,445,335,314,1793,456,485,406,349,406,506
154,408,313,886,174,425,359,363,190,450,377,361,410,220,384,565,208,1375,540,249,277,255,277,516
493,502,365,721,447,872,324,288,328,306,553,352,293,241,362,478,563,2135,360,823,352,333,352,420
366,428,,307,875,291,164,738,691,376,468,565,632,676,335,271,807,1331,317,306,275,430,275,350
,,,,603,,230,,,,,,,,,,,,,,,,,
,,,,,,202,,,,,,,,,,,,,,,,,
